;WEEK_PRI;YEAR_PRI;CASES
0;01;2000;13
1;01;2001;17
2;01;2002;46
3;01;2003;22
4;01;2004;13
5;01;2005;8
6;01;2006;7
7;01;2007;24
8;01;2008;30
9;01;2009;19
10;01;2010;39
11;01;2011;41
12;01;2012;32
13;01;2013;65
14;01;2014;15
15;01;2015;145
16;01;2016;32
17;01;2017;3
18;01;2018;15
19;01;2019;33
20;01;2020;66
21;01;2021;15
22;01;2022;54
23;01;2023;127
24;02;2000;12
25;02;2001;15
26;02;2002;61
27;02;2003;34
28;02;2004;5
29;02;2005;9
30;02;2006;11
31;02;2007;26
32;02;2008;18
33;02;2009;11
34;02;2010;38
35;02;2011;52
36;02;2012;50
37;02;2013;74
38;02;2014;29
39;02;2015;158
40;02;2016;9
41;02;2017;1
42;02;2018;23
43;02;2019;40
44;02;2020;82
45;02;2021;15
46;02;2022;37
47;02;2023;110
48;03;2000;20
49;03;2001;20
50;03;2002;57
51;03;2003;42
52;03;2004;7
53;03;2005;5
54;03;2006;15
55;03;2007;14
56;03;2008;19
57;03;2009;16
58;03;2010;36
59;03;2011;56
60;03;2012;44
61;03;2013;76
62;03;2014;46
63;03;2015;320
64;03;2016;11
65;03;2017;2
66;03;2018;26
67;03;2019;61
68;03;2020;73
69;03;2021;28
70;03;2022;58
71;03;2023;112
72;04;2000;16
73;04;2001;22
74;04;2002;84
75;04;2003;49
76;04;2004;5
77;04;2005;6
78;04;2006;10
79;04;2007;21
80;04;2008;29
81;04;2009;27
82;04;2010;59
83;04;2011;58
84;04;2012;40
85;04;2013;70
86;04;2014;51
87;04;2015;452
88;04;2016;7
89;04;2017;2
90;04;2018;25
91;04;2019;79
92;04;2020;78
93;04;2021;45
94;04;2022;62
95;04;2023;132
96;05;2000;9
97;05;2001;25
98;05;2002;132
99;05;2003;66
100;05;2004;12
101;05;2005;5
102;05;2006;22
103;05;2007;30
104;05;2008;24
105;05;2009;25
106;05;2010;75
107;05;2011;105
108;05;2012;41
109;05;2013;92
110;05;2014;84
111;05;2015;872
112;05;2016;6
113;05;2018;20
114;05;2019;97
115;05;2020;111
116;05;2021;67
117;05;2022;47
118;05;2023;167
119;06;2000;14
120;06;2001;15
121;06;2002;166
122;06;2003;67
123;06;2004;4
124;06;2005;7
125;06;2006;15
126;06;2007;24
127;06;2008;24
128;06;2009;13
129;06;2010;99
130;06;2011;107
131;06;2012;31
132;06;2013;64
133;06;2014;83
134;06;2015;1015
135;06;2016;13
136;06;2017;2
137;06;2018;19
138;06;2019;109
139;06;2020;120
140;06;2021;68
141;06;2022;64
142;06;2023;161
143;07;2000;3
144;07;2001;13
145;07;2002;194
146;07;2003;85
147;07;2004;2
148;07;2005;7
149;07;2006;19
150;07;2007;27
151;07;2008;19
152;07;2009;15
153;07;2010;240
154;07;2011;130
155;07;2012;29
156;07;2013;74
157;07;2014;203
158;07;2015;1829
159;07;2016;11
160;07;2017;3
161;07;2018;24
162;07;2019;139
163;07;2020;145
164;07;2021;107
165;07;2022;61
166;07;2023;189
167;08;2000;4
168;08;2001;9
169;08;2002;304
170;08;2003;112
171;08;2004;3
172;08;2005;1
173;08;2006;24
174;08;2007;52
175;08;2008;25
176;08;2009;20
177;08;2010;357
178;08;2011;166
179;08;2012;41
180;08;2013;142
181;08;2014;253
182;08;2015;3048
183;08;2016;10
184;08;2017;2
185;08;2018;15
186;08;2019;195
187;08;2020;129
188;08;2021;102
189;08;2022;100
190;08;2023;225
191;09;2000;5
192;09;2001;7
193;09;2002;194
194;09;2003;99
195;09;2004;8
196;09;2005;10
197;09;2006;61
198;09;2007;82
199;09;2008;23
200;09;2009;26
201;09;2010;382
202;09;2011;214
203;09;2012;49
204;09;2013;202
205;09;2014;332
206;09;2015;4514
207;09;2016;19
208;09;2017;3
209;09;2018;16
210;09;2019;245
211;09;2020;119
212;09;2021;142
213;09;2022;151
214;09;2023;303
215;10;2000;5
216;10;2001;35
217;10;2002;161
218;10;2003;139
219;10;2004;4
220;10;2005;7
221;10;2006;85
222;10;2007;102
223;10;2008;16
224;10;2009;39
225;10;2010;302
226;10;2011;173
227;10;2012;59
228;10;2013;215
229;10;2014;530
230;10;2015;6171
231;10;2016;6
232;10;2017;1
233;10;2018;18
234;10;2019;332
235;10;2020;147
236;10;2021;149
237;10;2022;261
238;10;2023;371
239;11;2000;6
240;11;2001;39
241;11;2002;139
242;11;2003;162
243;11;2005;10
244;11;2006;65
245;11;2007;146
246;11;2008;12
247;11;2009;38
248;11;2010;526
249;11;2011;261
250;11;2012;86
251;11;2013;303
252;11;2014;717
253;11;2015;7753
254;11;2016;18
255;11;2017;3
256;11;2018;12
257;11;2019;484
258;11;2020;118
259;11;2021;248
260;11;2022;277
261;11;2023;465
262;12;2000;2
263;12;2001;47
264;12;2002;141
265;12;2003;177
266;12;2004;2
267;12;2005;5
268;12;2006;102
269;12;2007;228
270;12;2008;37
271;12;2009;43
272;12;2010;669
273;12;2011;329
274;12;2012;71
275;12;2013;362
276;12;2014;1185
277;12;2015;2652
278;12;2016;10
279;12;2018;13
280;12;2019;593
281;12;2020;65
282;12;2021;349
283;12;2022;398
284;12;2023;627
285;13;2000;5
286;13;2001;51
287;13;2002;120
288;13;2003;127
289;13;2004;1
290;13;2005;8
291;13;2006;117
292;13;2007;239
293;13;2008;42
294;13;2009;38
295;13;2010;771
296;13;2011;355
297;13;2012;95
298;13;2013;269
299;13;2014;1887
300;13;2015;2480
301;13;2016;14
302;13;2018;22
303;13;2019;685
304;13;2020;96
305;13;2021;597
306;13;2022;527
307;13;2023;811
308;14;2000;3
309;14;2001;80
310;14;2002;211
311;14;2003;62
312;14;2004;3
313;14;2005;4
314;14;2006;108
315;14;2007;321
316;14;2008;52
317;14;2009;58
318;14;2010;924
319;14;2011;442
320;14;2012;101
321;14;2013;379
322;14;2014;2236
323;14;2015;2864
324;14;2016;11
325;14;2017;13
326;14;2018;17
327;14;2019;910
328;14;2020;72
329;14;2021;806
330;14;2022;706
331;14;2023;880
332;15;2000;7
333;15;2001;50
334;15;2002;149
335;15;2003;63
336;15;2004;4
337;15;2005;16
338;15;2006;107
339;15;2007;353
340;15;2008;39
341;15;2009;51
342;15;2010;528
343;15;2011;451
344;15;2012;134
345;15;2013;419
346;15;2014;3065
347;15;2015;2608
348;15;2016;14
349;15;2017;22
350;15;2018;15
351;15;2019;1156
352;15;2020;86
353;15;2021;766
354;15;2022;929
355;15;2023;964
356;16;2000;2
357;16;2001;64
